Date,Open,High,Low,Close,Volume
10/6/2016,67.41,67.83,66.26,67.34,9005317
10/5/2016,68.88,69.58,68.02,68.23,7636009
10/4/2016,68.55,69.7,67.79,68.3,7040645
10/3/2016,68.52,69.51,68.33,68.45,6064853
9/30/2016,67.77,69.19,67.37,68.52,10748304
9/29/2016,66.67,67.61,66.05,67.4,8417136
9/28/2016,66.64,66.83,65.93,66.78,7994701
9/27/2016,64.09,66.64,64.06,66.54,10068769
9/26/2016,64.21,64.6,63.53,64.34,5751035
9/23/2016,65.1,65.29,64.66,64.95,6903344
9/22/2016,65.24,65.44,64.65,65.02,7718287
9/21/2016,63.28,64.98,63.27,64.86,8405337
9/20/2016,64.4,64.4,62.74,63.09,8277832
9/19/2016,63.5,65.26,63.21,63.67,10428207
9/16/2016,62.91,63.25,62.12,62.84,22561149
9/15/2016,60.5,62.76,60.36,62.69,12884799
9/14/2016,60.01,60.6,59.51,60.4,7984326
9/13/2016,60.6,61.3,59.53,59.87,11794183
9/12/2016,58.73,60.86,57.32,60.75,14956524
9/9/2016,61.95,62.3,59,59.52,17443966
9/8/2016,62.13,62.74,61.42,62.64,7895219
9/7/2016,62.92,63.23,61.83,62.19,9949700
9/6/2016,62.75,63.12,62.43,63.12,7670320
9/2/2016,63.28,63.35,61.82,62.53,8078742
9/1/2016,61.39,63.38,61.34,63.15,10712305
8/31/2016,61.75,61.92,61.16,61.34,9713642
8/30/2016,61.91,62.24,61.46,61.63,7138622
8/29/2016,62.28,62.53,61.88,61.99,6866279
8/26/2016,61.69,62.38,61.2,62.03,7500624
8/25/2016,61.96,61.99,60.76,61.53,10150783
8/24/2016,63.13,63.16,61.65,61.94,7461244
8/23/2016,63.04,63.32,62.73,62.91,8494058
8/22/2016,62.45,62.61,61.71,62.52,6118683
8/19/2016,62.07,62.73,61.8,62.26,7288978
8/18/2016,61.06,62.2,60.82,62.1,8292095
8/17/2016,62.6,62.74,60.66,61.15,14880304
8/16/2016,62.89,62.99,62.41,62.6,7191345
8/15/2016,63.11,63.5,62.13,62.98,14332617
8/12/2016,61.9,63.38,60.63,63.04,35643642
8/11/2016,58.82,59.95,58.7,59.7,17026556
8/10/2016,59.41,59.5,58.32,58.51,9393453
8/9/2016,59.03,59.46,58.74,58.89,9308559
